site,depth,microbes,rel_abun
DEEP,45,Prochlorococcus,0.12852690192965455
DEEP,45,Synechococcus,0.00487958628579433
DEEP,45,Pico Eukaryote,0.00196117343543887
DEEP,45,Heterotrophic Bacteria,0.6270151640731705
DEEP,5,Prochlorococcus,0.1580371683111409
DEEP,5,Synechococcus,0.00324504262860427
DEEP,5,Pico Eukaryote,0.00205958425136507
DEEP,5,Heterotrophic Bacteria,0.5949444391225214
DEEP,500,Prochlorococcus,0.00525862893202026
DEEP,500,Synechococcus,7.648914810211301e-4
DEEP,500,Pico Eukaryote,2.868343053829238e-4
DEEP,500,Heterotrophic Bacteria,0.6070370016253944
DEEP,75,Prochlorococcus,0.19572319572319571
DEEP,75,Synechococcus,0.00299376299376299
DEEP,75,Pico Eukaryote,0.00198396198396198
DEEP,75,Heterotrophic Bacteria,0.5702168102168103
DEEP,750,Prochlorococcus,0.01283651274737029
DEEP,750,Synechococcus,0.00552683187733998
DEEP,750,Pico Eukaryote,8.914244963451596e-4
DEEP,750,Heterotrophic Bacteria,0.6357639507933677
DEEP,DCM,Prochlorococcus,0.13673515722556476
DEEP,DCM,Synechococcus,7.000416240965679e-4
DEEP,DCM,Pico Eukaryote,0.00469217088583645
DEEP,DCM,Heterotrophic Bacteria,0.6241154879479321
